property,earlier_clicks,earlier_impressions,later_clicks,later_impressions
ml0x.com,10,1044,31,2351
bugbountyreality.com,4,517,3,1505
abwex.com,2,1109,2,1475
ingredientcalculator.com,191,19760,209,34381
dismissticket.com,0,161,1,1519
epochpilot.com,5,6373,0,760
recipetool.net,8,3510,42,6261
gen8x.com,1,1002,4,1619
viryd.com,0,20,0,5
ml3x.com,0,581,0,943
claudkit.com,1,178,1,127
claudhq.com,7,920,4,1061
goldgramprice.com,2,5231,9,8708
bestchromeextensions.com,3,1390,0,1335
kappafy.com,1,692,1,419
pictureeditor.net,0,678,1,820
englishlearner.org,25,767,108,1984
claudflow.com,24,1310,16,2425
krzen.com,1,208,0,802
heytensor.com,30,29117,6,10108
grammarhelper.org,0,18,1,104
b2berp.com,1,2631,0,1380
writingassistant.org,0,310,0,832
aiwebsitepipeline.com,0,58,0,1183
belikenative.com,1160,309177,1068,329175
kickllm.com,20,7904,26,11298
taxbreakcalc.com,0,18,0,369
lochbot.com,2,2061,0,519
paraphrasetool.org,1,285,1,1302
lakelevelnow.com,141,17052,212,24881
lockml.com,3,198,4,841
zovo.one,68,6632,57,3359
invokebot.com,0,48,0,184
enhio.com,1,1338,5,2601
neovistainc.com,2,42,1,72
gpt0x.com,1,2505,1,5780
